Ligne,Traduction,Espaces placés au début,Révision 2022 (pour référence)
4911,"<Te odi, et te amo. Conveniamus in somnio ipso.|Toi, l'être haï, toi, l'être aimé. Je prie pour que nous nous voyons en rêve.>”",center,"Te odi, et te amo. Conveniamus in somnio ipso.”"
4924,"“<Proximi mihi neglegentes fuerunt. Omnes nos peccantes fuimus|Le voisinage était indifférent avec moi. Nous sommes tous pécheurs,>,",center,“Proximi mihi neglegentes fuerunt. Omnes nos peccantes
4925,"<et omnes nos eidem fuimus, omnes nos peccatores sumus|nous étions coupables et semblables.>.",center,"fuimus, et omnes nos eidem fuimus, omnes nos peccatores"
4926,"<Venite domum meam. Luto simile somnium|Bienvenue chez moi. Que ta mort soit horrible,>,",center,"sumus. Venite domum meam. Luto simile somnium,"
4927,"<et pulveri simile cotidianum. Cor privo.|deviens poussière et murmure. Perce le cœur qui a quitté cette poitrine,>”",center,et pulveri simile cotidianum. Cor privo.”
4928,“<JE T'APPORTE LA MORT.|Te iudico.>”,center,“「オマエニ、死ヲ」”
4946,"Il était reconnaissant qu'elle réponde sans détour à ses questions, mais plus il écoutait, plus il entendait un vocabulaire qui lui était inconnu, et ça<r>l'incommodait.",,Pour forcer le retour à la ligne
4954,"「Euh, pourquoi tu m'emmènes avec toi ?」",,「なんで俺を連れていってるんだ？」
4968,"Aoko avait été blessée au dos par son attaque, et pour le moment, ils<r>s'enfuyaient.",,Pour forcer le retour à la ligne
4981,"Si elle avait été au niveau de sa colocataire, ce brouillage aurait rebondi au moment même où le bras l'avait touché, et aurait au contraire brûlé le Circuit adverse.",,彼女の同居人レベルなら、あんなジャミングはそれこそ腕が触れた時点で弾き、接触しようとした相手の回路を逆に焼き切ってしまうだろう。
5019,「Hein ? Tu avais déjà vu d'autres marionnettes de ce genre ?!」,,
5047,"“<Nemo meum funus meminit, qui doluit exstinctus est|Plus personne ne se rappelle de mon enterrement. Les proches endeuillés ont aussi disparu.>.",,"@o“Nemo meum funus meminit, qui doluit exstinctus est."
5048,"<Initio erraveramus. Dum vivimus dolores sunt|Depuis le départ, nous nous trompions. C'est douloureux de vivre.>.",,Initio erraveramus. Dum vivimus dolores sunt.
5049,"<Nemo adiuvat|Par pitié, que quelqu'un me sauve.>.”",,Nemo adiuvat.”
5051,"「...... C'est pas le moment de discuter. Pour l'instant, reprenons de<r>l'avan―――",,Pour forcer le retour à la ligne
5052,,0,
5061,"Si la marionnette avait attaqué avec son bras, elle aurait très facilement percé ce mur de prana. Mais comme il s'agissait d'une “malédiction” sans substance réelle, Aoko avait pu la faire rebondir dessus.",,
5081,"「...... Bien. À cette distance, on peut se reposer un peu.」",,
5084,Aoko avait les yeux rivés sur son visage et affichait un air de totale incrédulité.,,
5151,“Vivo in somno. Solitarie putresco in inferis.,,“Vivo in somno. Solitarie putresco in inferis.
5152,"Hic dies meus obitus dies, et meus nativus dies. Te obeam.”",,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”"
5172,"La seule arme qu'elle pouvait recréer pour l'heure était un marteau avec son bras fin devenu une arme contondante moins large qu'une batte. Et comme le prérequis à son emploi était de s'approcher, son usage était des plus risqués.",,
5178,C'était une faculté similaire à celle des chauves-souris vivant dans<r>l'obscurité. Elles émettent des ondes sonores aiguës et mesurent le relief alentour grâce à l'écho. La méthode de l'écholocalisation.,,
5197,"...... Deux fois. Parfois, ses prédictions étaient plus réalistes que la réalité elle-même.",,
5211,“Mea anima immortalis. Autem mea futura necata sunt.,,“Mea anima immortalis. Autem mea futura necata sunt.
5212,Manes sum. Animam definire ambiguum est.”,,Manes sum. Animam definire ambiguum est.”
5228,Aoko avait parié qu'elle pourrait lui faire face si ce n'était qu'une machine à tuer capable d'un nombre d'actions précis dans une situation donnée.,,この距離ならこの攻撃、といったテンプレートを行うだけの殺戮機巧なら対応できると、青子は己の運に賭けたのだ。
5256,"“<L'intelligence est inutile.|Intellectum non necessitas> <Être pieux est inutile.|Et pius non necessitas><r><Aah, notre nature était de lutter,|Ô nostrum esentia auferati eramus> <et notre raison venait en dernier.|ratio figur tantum est><r><Mon cerveau est l'origine de ma souffrance.|Doloris initium encephalon>”",,
5257,"Au-dessus de sa tête, le bruit oppressant de la mécanique ennemie<r>s'intensifiait.",,
5260,“<Donnez-nous le pardon.|Iis salvitio> <Donnez-nous le pardon.|Iis salvitio> <Donnez-nous le pardon.|Iis salvitio>”,,
5267,"“<Intellectus non necessarius est. Pius quiescat|Renonce à ta droiture, dis adieu à ta piété.>.",,“Intellectus non necessarius est. Pius quiescat.
5268,"<O nostra essentia ablata fuit,|Nous sommes des bêtes, nous nous entre-dévorons, cette vie n'est que décoration.>",,"O nostra essentia ablata fuit,"
5269,<ratio fixa tantum est. Doloris initium cerebrum fuit.|Donc libère-toi de ton intelligence―――>”,,ratio fixa tantum est. Doloris initium cerebrum fuit”
5275,“「<Nous sommes morts―――|Iis salvatio>」”,,
5286,“<Vivo in somno. Solitarie putresco in inferis.|Je vis dans le sommeil. Je pourris toute seule dans la terre.>,,“Vivo in somno. Solitarie putresco in inferis.
5287,"<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort, et celui de ma naissance. Je viens à ta rencontre.>”",,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”"
5293,"Le poème maudit, la source de sa puissance, servait aussi de système de défense qui rendait malade quiconque s'en approchait.",,人形の動力源である呪いの詩は、近寄る者に病をもたらす防衛機巧にもなっている。
5361,「...... Tu n'as pas pensé à te cacher en bas ?,,「……下で隠れていようとか思わなかったの？
5379,"“D'ailleurs, ce n'est pas logique de demander à quelqu'un ce qu'il “peut faire” s'il ne comprend ni la situation ni la différence de force avec<r>l'ennemi”, rajouta Sōjūrō en bombant le torse.",,
5451,"Puisque je suis là, rentrons ensemble, Aoko. Ce serait davantage dans ton style. Par la même occasion, tu me parleras de la marionnette.」",,せっかくだし二人で帰りましょう。その方が貴女らしいわ。帰りしな、人形の話でも聞かせてちょうだい」
5453,"C'est bon, va paresser ailleurs, Alice. Enferme-toi dans ta chambre et va fabriquer tes étourneaux sans intérêt.」",,いいから帰れ帰れ、ぐうたら有珠。部屋に閉じこもって役に立たない椋鳥でも作ってろっての」
5462,"Tu es encore de leur côté, Aoko ? Ou alors, tu t'es prise d'affection pour lui ?」",,まだ半端にそっち側なの？　それとも情でも移った？」
5466,,2,
5531,"「Bien sûr. Même si je dois te tuer, je laisserai cet idiot en vie.<r>Et puis―――」",,Pour forcer le retour à la ligne
5549,"「Tu es toujours aussi têtue. Mais tu ne trouves pas que tu es encore plus égoïste que d'habitude, Alice ?」",,「相変わらずお堅いこと。その殻、一段と独りよがりになってるんじゃない？」
5595,était un miracle dont l'apprentie Mage Aozaki Aoko n'avait jamais fait<r>l'expérience.,,Pour forcer le retour à la ligne
5601,"Les doigts fins de Kuonji Alice, comme pour caresser le dos d'un vieux chat, métamorphosèrent délicatement le parc d'attractions tout<r>entier―――",,Pour forcer le retour à la ligne
5603,,0,
5620,"la dernière page d'un énorme <kamishibai|théâtre d'images>, pensa-t-elle.",,
5624,"En voyant la frontière ondulante, elle fléchit enfin les genoux face à cette <île|Snark> du désespoir.",,
5647,"Au-dessus du garçon à côté d'elle, <l'œuf chuchoteur|Scratch Dumpty> poursuivait sa transformation.",,
5664,"「Non. Et puis, c'est plus réaliste de tenter ma chance ici que là-bas.」",,「まあね。それよりこっちの方が現実的だし」
5718,,1,"Espace obligatoire, en jeu cette phrase est directement collée à la précédente"
5724,"...... Ça suffit, maintenant, vas-y. J'ai l'habitude de tout ça. Mais c'est différent pour toi. C'est la première fois que tu es confronté à ce genre de chose, non ?",,……もう、いいから行って。慣れているもの、私は。でも貴方は違う。こういうの初めてでしょ？
5781,"Même si elle était sarcastique, il y avait encore du doute dans les yeux<r>d'Aoko.",,Pour forcer le retour à la ligne
5783,"Si elle avait été un peu plus douée et avait acquis un peu plus d'expérience, peut-être aurait-elle trouvé un moyen de l'identifier.",,"Si elle avait été un peu plus douée et avait acquis un peu plus d'expérience, peut-être aurait-elle trouvé un moyen pour le trouver."
5821,la longue nuit des Magiciennes semblait être entrée dans son dernier acte.,,la longue nuit des magiciens semblait être entrée dans son dernier acte.
5831,,0,
5836,Scratch Dumpty était une bombe à retardement qui chutait et explosait dès que sa cible détournait les yeux.,,Scratch Dumpty était une bombe à retardement qui chutait et explosait dès que l'objet ciblé détournait les yeux.
5930,Une distance telle que leurs souffles et leurs peaux pouvaient se<r>toucher.,,
5938,"...... Si l'on devait attribuer une couleur à ces mots, ça serait celle que l'on retrouve dans son nom, le <bleu|Ao>.",,
5941,"<Les doutes et les inquiétudes au fond du sac,|Tic tac tic tac.> <l'aube est une étape|Donne un coup de sifflet.><r>du voyage.",,
5942,"<Les étoiles scintillantes tombent vite,|Les étoiles viennent toujours du ciel du nord,> <et sont maintenant dans ton|N'importe où, pour toujours.><r>cœur.』",,
5949,"「C'était une simple Suggestion. J'ai temporairement effacé ta peur, donc tu ne devrais pas avoir de problème à monter dans un lieu en<r>hauteur.",,
5986,"Courant direct motifs multiples, une, deux―――trois couches en<r>réserve.",,
5992,"「―――C'est parti. <Forme de balle de prana|Tour Plan>, <Projection Convergente|Starmine>.」",,
6000,une différence triviale entre la réalité d'une heure plus tôt et l'illusion actuelle. La découverte de l'erreur maximale camouflée en erreur<r>minimale.,,
6008,"S'il était capable de pousser la similitude avec la lune jusqu'à ce point,<r>ça signifiait qu'il était à la hauteur de tous les surnoms qu'on lui avait<r>attribués.",,
6021,"「Déploiement des trois couches ! À tous les sorts, activation<r>successive―――!」",,Pour forcer le retour à la ligne
6031,"Non seulement elle ne vénérait pas le roi de la nuit qu'il était, mais en plus, elle lui avait clairement lancé un défi. Il n'y avait aucun moyen de calmer sa colère.",,夜の王たる自分を敬わぬばかりか、あんな、あからさまに挑戦状をたたき付けられては、怒りの収めようがない。
6051,"C'est très bien comme ça, pensa Aoko en avalant une grande bouffée<r>d'air.",,
6052,Elle avait fait tous les préparatifs possibles. Elle allait frapper de plein fouet cette lune avec un tourbillon de prana aussi puissant qu'une<r>roquette―――!,,Pour forcer le retour à la ligne
6063,La plus grande légende jamais contée depuis la nuit des temps !,,
6098,,1,"Espace obligatoire, en jeu cette phrase est directement collée à la précédente"
6156,Toutes les couches à plein<r>régime―――!」,0,
6190,quelque chose.,,
6200,elle plaça par-derrière ses deux mains rouges de sang sur les joues<r>d'Aoko...,,
6212,Cette mort pourpre venait pour tuer cette chose.,center,
6256,"「<Abandon de la connexion|Change>―――<Expansion du cercle|Change>,<r><reconnexion|Change>―――!」",,Pour forcer le retour à la ligne
6257,,0,
6270,"Il était impossible qu'un “utilisateur de prana” supérieur à Flat Snark, le roi des réceptacles ayant vécu mille ans, apparaisse à cette<r>époque―――!",,Pour forcer le retour à la ligne
6279,"「―――<Reconnexion, forme balle de prana|Change Tour Plan>―――」",,
6391,,0,"Espace obligatoire, en jeu cette phrase est directement collée à la précédente"
6406,"「C'est d'Aozaki qu'on parle, je suis sûr qu'elle ne l'a pas remarquée......!」",,「蒼崎のことだ、アレにぜったい気付いていない……！」
6497,"Je pense que même dans ces circonstances, ce n'est pas bien de gaspiller de la nourriture !」",2,食べ物を粗末にするのはよくないと思う！」
6514,,1,"Espace obligatoire, en jeu cette phrase est directement collée à la précédente"
6516,Une <destruction mutuelle explosive|Scramble Murder Case>.,,
6550,"Par chance, la personne à qui elle s'était adressée n'avait à l'évidence ni le calme ni le tact nécessaires pour réaliser cet aspect peu glorieux de la jeune fille.",,もちろん幸い、話しかけられた彼には、そんな彼女のいじらしさに気付く余裕も情緒も、ありはしなかったのだが。
6553,,1,
6554,,1,
6627,......... Ce n'est pas...,,………冗談じゃ、
6628,une blague.,,ない。
6647,Son coup asséné en pivotant de tout son corps lui avait magnifiquement fait perdre conscience.,,腰の入った一撃は、見事なまでに彼の意識を刈り取った。
6651,"Il avait l'air souffrant, le visage un peu trop déformé par la douleur pour que l'on puisse dire qu'il dormait, mais Aoko préféra quand même penser qu'il n'avait pas perdu connaissance et qu'il s'était juste assoupi.",,
6697,Ce fut ainsi que le parc d'attractions retrouva sa superbe des jours<r>d'antan.,,
6700,Le petit carrousel tournoyant sur lui-même.,,くるくると回りだす大小のゴーラウンド。
6707,「――――<Connexion.|Set.>」,,
6720,Alice était toujours protégée par l'épais brouillard et le rempart qui<r>l'entouraient.,,Pour forcer le retour à la ligne
6729,,2,
6784,l'un de ses trois meilleurs Ploy avait le pouvoir de provoquer ce genre<r>d'évènement.,,Pour forcer le retour à la ligne
6795,,0,
6908,「―――」,,「―――」
6927,"「―――Tu me surprends. Toi aussi, tu étais d'avis de courir jusqu'à<r>l'extérieur.」",,Pour forcer le retour à la ligne
6946,"「Aozaki, et eux......?」",,「アイツらは……？」
6981,"「Ça me fait plaisir que tu aies à ce point confiance en moi, mais ne te réjouis pas trop vite.",,
6990,"Il y a des choses qui restent hors de notre portée, ce qui est normal, et surtout, on n'est pas de taille face aux armes modernes. Au cours du<r>XXe siècle―――eh bien, les différentes guerres aidant, les progrès en matière d'armement ont été tels qu'on s'est retrouvés dépassés.」",,Pour forcer le retour à la ligne
6995,「Tous les familiers d'Alice sont des Mystères créés à partir de<r>l'imagination.,,「Tous les familiers d'Alice sont des mystères créés à partir de l'imagination.
6996,"Ce sont des choses déjà improbables en soi, c'est pourquoi elles interagissent mal avec les lois de la physique. Et ce pour une raison très simple : l'imaginaire et la réalité ne peuvent coexister.」",,
7002,"La seule chose qui fonctionne sur eux, car imbibée du même Mystère, c'est l'absurdité que l'on appelle “prana”. Comment dire, quelque part, il est à lui tout seul un espace de concepts, voire un univers de<r>concepts―――」",,Pour forcer le retour à la ligne
7017,"「...... Écoute. Je te préviens, mais les trucs qui nous encerclent en ce moment ne sont rien d'autre que des hors-d'œuvre.",,「……あのね。いま私たちを取り囲んでるのはオマケにすぎないの。
7026,"Par exemple, il y a un monstre qui ne se réveillera pas s'il n'y a pas de rivière à proximité. Dans ce parc d'attractions, il n'y a que des fontaines, pas vrai ? Ses familiers sont des contes de fées prisonniers de leurs mythes.」",,たとえば川がないと目を覚まさない怪物もいる。この遊園地、噴水はあるけど川はないでしょ？　元になった童話しばりなの、あの子の使い魔は」
7028,"「Dans notre malheur, on a de la chance qu'il n'y ait pas de rivière ici. S'il y en avait eu une, elle aurait permis l'apparition d'une monstruosité spécialisée dans l'annihilation pure et simple.」",,「遊園地に川がないのは不幸中の幸いね。もしあったら、もっと直接制圧に向いた奴が出てきてた」
7096,,0,
7112,"「On dirait qu'on ne peut rien faire, Aozaki !",,「っ、なんかどうしようもないぞ！
7132,"Un type aussi faible se dissimulerait parmi le menu fretin ? C'est vrai que si on veut cacher un arbre, alors mieux vaut le faire dans une<r>forêt―――”",,Pour forcer le retour à la ligne
7140,"「Aozaki, et si on attrapait cette fille ?!」",,「あの子を捕まえるのは！？」
7148,,0,
7168,"「Pas question ! Pour le moment, fuyons !」",,「それはイヤだ！　とりあえず逃げよう！」
7171,"Sōjūrō, qui n'avait fait que suivre Aoko jusqu'à maintenant, lui prit la main de force et chargea frontalement le groupe de pains grillés―――En leur fonçant dessus, il comptait sur sa puissance physique pour forcer leur barrage.",,"Sōjūrō, qui n'avait fait que suivre Aoko jusqu'à maintenant, lui prit la main de force et chargea de front le groupe de pains grillés―――En les chargeant, il comptait sur la force pour forcer leur barrage."
7206,"「C'est dommage. Connaissant Aoko, je m'attendais à ce qu'elle vienne me réduire en cendres avec la tour d'horloge.」",,「青子の事だから、時計台ごと私を焼き払いにくるかと思ったけど」
7248,Les balles de prana rebondirent sur l'œuf comme s'il était en<r>caoutchouc.,,
7259,C'était une des théories de Humpty Dumpty chantée dans Mother Goose.,,それがマザーグースに唄われるハンプティ・ダンプティの一節だ。
7286,,0,
7357,"Même le lendemain, on ne voit nulle part le même paysage que la veille.",,
7413,Un atour de haute couture confectionné spécialement pour cette<r>fille―――,,Pour forcer le retour à la ligne
7414,C'était amplement suffisant pour que Sōjūrō trouve la scène poétique.,,
7440,"Sōjūrō, étendu sur le lit, regardait la fille dans les yeux, silencieusement, sans oser tourner la tête vers elle, et sans que le moindre mot ne lui vienne à l'esprit.",,
7462,"Il était vrai que ce mutisme était pesant et que l'inquiétude le gagnait alors qu'il repensait à ce qui était arrivé dans le parc d'attractions,<r>mais―――",,Pour forcer le retour à la ligne
7489,「...... Est-ce qu'Aoko est au courant de ça ?」,,「……青子は、それを知っているの？」
7516,"Même s'il était toujours allongé sur le lit, c'était déjà une position plus confortable.",,
7595,"Ça doit bien faire deux jours que tu es dans cette chambre à dormir, il a dû s'affaiblir après tout ce temps.",,まる二日経ってるし、寝てるだけでも体は弱ってるだろうし。
7686,"Tu dis que je suis sous surveillance, mais pourquoi on en est arrivés là ? Pour autant que je sache, je n'ai rien fait de mal, et puis d'abord, tu ne gagneras rien à garder un œil sur moi !",,監視するって言うけど、なんでそんな話になってるんだ？　考えられる範囲、悪いコトとかしてないし、そもそも俺を見張っても得なコトなんていっこもないし！
7687,Tu te trompes sur pas mal de points !」,1,蒼崎は色々まちがってる！」
7700,"「Mais ça n'a pas vraiment de sens, non ?",,「けど、それはあまり意味がないんじゃないか？
7708,"En réalité, elle ne comptait pas le restreindre comme dans une prison.",,
7721,"C'est bien moins barbare que de vouloir tuer le témoin à tout prix, non ?",,何でもいいから目撃者を殺す、なんて事より、こっちの方がよっぽど穏便でしょ。
7768,"「Oui. Je fais des mouvements de la main depuis tout à l'heure, et grâce à ça, mon sang a circulé.",,「さっきから手を動かしてたから、血は巡ってる。
7811,"Les rayons du soleil hivernal pénétrant par les fenêtres donnaient au couloir, aux allures de bâtiment abandonné, un aspect d'autant plus<r>désolé.",,
7840,,1,
7846,"En entrant dans le salon, Aoko s'adressa à Alice qui se trouvait à<r>l'intérieur.",,
7861,"...... En observant ainsi depuis le mur, il avait presque l'impression de pouvoir toucher les reproches invisibles qu'elles se renvoyaient l'une<r>l'autre.",,
7918,「Tu aurais pu prévenir.」,,
7970,"Ce que je n'arrive pas à croire, c'est que vous mettiez la Magie en pratique à la moindre occasion. Il aurait suffi de me dire que c'est quelque chose d'effrayant.",,信じられないのは、なんでいちいち実践するかって事だ。魔術は恐いものなんだって言えば済むだろうに。
7971,"Et aussi, j'ai entendu tes propos menaçants, Aozaki.」",0,それと、ぶっそうな蒼崎の声、聞こえてたぞ」
7973,"Mais c'est vrai que je voulais que tu le réalises clairement, et pas seulement avec des mots.",,けど、言葉じゃなくてきちんと実感してもらいたかったのは本当よ。
7986,,0,
7987,,0,
8017,"Maintenant qu'elle le faisait remarquer, c'était effectivement un problème important.",,
8044,"De toute manière, comme tu es un profane, tu n'as qu'à retenir ce qui<r>t'intéresse.」",,
8052,"Donc, à propos des Mages. Ils ont pour règle absolue de rester dans<r>l'ombre.",,
8055,"Il y a une expression grecque qui dit que “l'origine du mystère se<r>referme”. Si la Magie ne reste pas un secret bien gardé, alors elle cessera d'être de la Magie.",,
8060,"「...... Je ne comprends pas trop le mécanisme de la Magie, mais pour résumer, si vous ne la gardez pas secrète, elle s'affaiblit.",,「……魔術の仕組みはよく分からないけど、とにかく自分だけの秘密でないと弱くなるって事か。
8069,"「Et donc, ceux qui ont imposé ces règles à cette bande de types sans valeurs, c'est un rassemblement connu sous le nom d'Association des Mages. C'est comme un syndicat.",,そんなろくでもない連中にルールを敷いたのが、魔術協会っていう集まり。組合みたいなものよ。
8070,L'idée de préserver la Magie comme un mystère éternel n'est qu'une règle imposée par ces types pour la perpétuer.」,2,“魔術を不朽の神秘とせよ”……というのは、魔術を魔術として永続させるために敷いたルールにすぎないわ」
8089,"L'Association des Mages, dont je parlais à l'instant, est une grande organisation administrant ces gens qui ont continué à exister humblement. Pour les Mages, c'est comme une instance divine.」",,さっき言った魔術協会っていうのは、そんな細々と続いてる連中を束ねる一大組織。魔術師にとって司法の神ってところかしらね」
8090,"「L'Association est divisée en différentes factions, mais la majorité des Mages sont affiliés à l'Association des Mages de Londres.",,「協会も色んな派閥に分かれるんだけど、大抵の魔術師はロンドンの魔術協会に属している。
8098,"en gros, les Mages cachaient leur identité, non pas pour eux-mêmes mais pour la Magie. Seulement, ces derniers temps, il est devenu plus important de cacher sa double vie.",,魔術師が正体を隠すのは自分のためじゃなく魔術のためだったけど、最近では自分の正体を隠すことの方が重要になっている。
8101,"「Non, on est des indépendants. Cela dit, on a quelques liens avec<r>l'Association.",,
8143,"Pour résumer, un Mage est un être inhumain qui fait des expériences magiques à la moindre occasion, et qui peut devenir un monstre ou le diable en personne pour protéger les rites secrets transmis dans sa lignée―――bref, au sein de sa famille.」",,ともかく、魔術師っていうのは暇さえあれば魔術の実験をしてる連中で―――自分の家系が伝えてきた秘儀を守るためなら鬼でも悪魔にでもなる」
8153,"Sōjūrō laissa flotter son regard, se demandant ce qu'il pouvait bien y avoir d'autre.",,
8158,"Les Mages sont liés à l'organisation que vous appelez l'Association, hein ? Dans ce cas, pourquoi as-tu été attaquée par cette marionnette ?",,
8168,"Normalement, tu devrais être surpris, effrayé, nous ignorer, ou faire comme si nous n'existions pas. Alors, pourquoi tu m'as crue lorsque je t'ai dit que j'étais une Magicienne ?」",,普通は驚いたり恐がったり無視したりするものなのに、どうして魔法使いだ、なんて言った私を信じたの？」
8221,"En d'autres termes, vous vous battez pour ces terres ?」",2,蒼崎たちは土地の奪い合いをしているんだな？」
8226,"Et puis, on dirait que Shizuki a compris qu'il y a d'autres Mages à part nous.",,静希君も、他に魔術師がいると分かってくれたようだし。
8265,Que pouvait donc bien signifier―――la résolution qu'elle venait d'exprimer―――en réduisant la fiole en morceaux ?,,今の決意表明―――小瓶を粉々にする―――はどういう^事なのか、と。
8266,"「J'ai conclu l'affaire à condition de te faire perdre la mémoire, mais au fond, elle n'est pas d'accord.",,「草十郎には“記憶を無くしてもらう”ってコトで話はつけたけど、心の底から納得してないってコトでしょ。
8324,"Mais comme tu l'as supposé, j'ai déjà fait tout ce qui était en mon pouvoir. À présent, c'est à ton tour de jouer. Tu n'as qu'à agir comme bon te semble.」",,お察しの通り、私のやるべき事はもう終わってるし？　あとは草十郎が努力する番だから、勝手にすれば？」
8455,La lueur des étoiles passant à travers la lucarne était faible mais<r>l'apaisait.,,
8513,"...... Et puis, Aoko n'est pas en position de se préoccuper des gens. Au bout de cinq jours, elle réalisera à quel point sa situation est précaire. Et alors―――」",,……だいたい、青子も人にかまけていられる立場じゃないわ。五日もすれば思い知るでしょう。そうすれば―――」
8558,"Je voudrais que ses fonctions soient uniquement consacrées à la recherche d'intrus, alors s'il est sur le point de s'y égarer, arrête-le.」",,鏡の機能は侵入者の探索に専念させたいし、彼が迷いこみそうになったら止めてあげて」
8573,ni pour notre civilisation qui dispersait sa fumée depuis les cheminées<r>d'usine.,,
8607,,0,
8608,,0,
8634,"D'ailleurs, si tu as des difficultés pour les examens, demande conseil autour de toi. Ça ne sert à rien de s'apitoyer tout seul dans son coin. À l'école, les personnes à qui parler ne manquent pas.」",,また、試験で困ったコトがあったら周りに相談しなさい。ひとりで悩んでいても時間の無駄だよ。ほら、学校っていうのは話し相手にだけは困らないから」
8636,"Le garçon naïf accepta de bonne grâce le conseil sans intérêt, puis, tout en acquiesçant d'un air compréhensif, retourna dans la salle de<r>classe.",,
8650,「Kinomi. Imaginons qu'une fille hérissée dans le <genre fugu arrive|poisson-globe> à l'Ours Enragé.,,
8665,「Quoi ? Tu parles bien avec les filles de la classe. C'est la marche à suivre. Tu peux pas savoir comme je t'envie !,,「クラスの女どもとは話してんじゃん。あれでいいんだっつの、オレは羨ましいっつの。
8703,"Bien sûr, Sōjūrō n'avait aucun moyen de connaître cette particularité<r>d'Alice.",,
8746,"Pourquoi tourner autour du pot ? Si tu le détestes, montre-le<r>ouvertement.",,
8750,"Tu fortifies tes défenses, mais tu laisses la porte du château grande ouverte dans la claire intention d'embrocher ta proie si jamais elle entre par inadvertance. En tant que partenaire, je ne peux pas regarder ça en restant les bras croisés.",,ガチガチに守りをかためて、そのクセ城門だけ開けて、獲物が油断して入ってきたら串刺しにする気満々とか、相棒として見てられないわ。
8775,"Alice, quant à elle, avait été témoin de ce spectacle depuis la tour<r>d'horloge.",,
8758,,0,
8782,,0,
8788,"「...... Ne t'en fais pas. Je pensais juste que si l'occasion se présentait à nouveau, je voudrais bien revoir un corps humain bouger de cette façon.",,「……気にしないで。機会があるなら、もう一度見たいと思っただけ。
8836,"pour les problèmes de cette nature, il y avait trois principaux moyens<r>d'agir.",,
8838,"“Ça prend du temps, mais c'est le plus naturel.",,“こいつは時間がかかるが、もっとも自然だ。
8847,"Autrement dit, une attaque-surprise. Et un coup critique.",,
8860,"Cela lui rappelait la fois où, longtemps auparavant, il était entré inopinément sur le territoire d'un renard.",,
8876,"「Non, je n'aurai sûrement pas fini en une journée, alors j'en achèterai un.",,「たぶん一日じゃ終わらないから自分で買うよ。
8891,Il salua sa camarade et se dirigea vers le quincaillier.,,少女に礼を言って金物店に向かう。
8917,"le travail,",,アルバイト、
8918,"la sieste, ",,仮眠、
8920,les révisions pour les examens.,,試験勉強。
9193,『Il vient juste d'être transféré. On n'y peut rien.』,,
9194,quand le professeur Yamashiro la lui avait montrée en ajoutant ceci.,,
9212,"「Calme-toi un peu. D'habitude, tu es aussi pataud qu'un gros chien dur<r>d'oreille. Il y a quelque chose qui te perturbe ?」",,
9253,"Si tu continues comme ça les deux prochains jours, les vacances de<r>Noël vont définitivement s'envoler. À vrai dire, si ça arrive, c'est surtout moi que ça va contrarier.」",,
9321,"「Le seul moment où je la vois, c'est lors des repas, et tu sais à quoi ils ressemblent. Comment veux-tu que nous sympathisions, Aozaki ?」",,「彼女と会えるのは食事の時だけで、食事といったらアレだろう。どうやって仲良くなれって言うんだ」
9325,"「...... Je ne comprends absolument pas, Aozaki.",,「……ぜんぜん分からないな。
9345,「Non. Je pense qu'il faut voir ce genre de chose directement avec<r>l'intéressée.」,,
9411,"L'une des rares personnes à l'avoir conseillé (malentendus compris), Kinomi Hōsuke, lui avait fait cette suggestion.",,彼の数少ない相談相手（勘違い含む）である木乃美芳助はそんな助言をしてくれた。
9412,"Au passage, la suggestion de Kinomi était à utiliser avec Aoko, mais l'impression de Sōjūrō à ce moment-là avait été :",,ちなみに木乃美の助言は対青子用のものだったが、その時の草十郎の感想は、
9465,"Après la fin du deuxième jour d'examen, Sōjūrō rentra seul au manoir.",,
9549,"「...... Non. Aozaki devrait bientôt rentrer. Et puis, ce ne sont peut-être pas mes affaires.」",,「……いや。蒼崎も帰ってくるだろうし、いらぬ世話かな」
9632,,0,
9686,"Il y a une fête de fin d'année, un rassemblement improvisé pour la fabrication de <mochi|pâte de riz sucrée>. Donc je serai occupée demain.」",,
9751,,2,
9752,,2,
9759,sans créer le moindre remous à la surface du thé versé dans la tasse<r>d'Alice.,,
9769,「Pourquoi... agis-tu ainsi―――?」,,
9785,"「Eh bien, alors......?」",,
9793,"Pour moi, vous gâchez de belles occasions de discuter alors que vous vivez au même endroit.」",,せっかく同じ場所に居るのに会話がないなんて、もったいないと思うんだ」
9796,mais elle pouvait clairement percevoir qu'il souhaitait quelque chose de sa part.,,
9824,"「Ce serait impossible pour lui de vivre ici sans mon autorisation, tu ne crois pas ?",,
9832,"Je ne peux vraiment pas rester plus longtemps, pensa-t-il avant de mettre un terme à la conversation.",,さすがにこれ以上は延ばせない、と少年は会話を切った。
9947,"Après ce qui s'était passé dans le vestibule, la défiance mêlée d'intérêt qu'Alice ressentait à l'égard de Sōjūrō avait visiblement explosé le compteur, car elle avait exigé qu'Aoko le laisse aussi rentrer seul le lendemain.",,ロビーでの一件で草十郎への不信感、および関心がメーターを振り切ったのか、有珠は“明日も彼をひとりで帰して”と青子に強要した。
