Ligne,Texte,Traduction
8750,ガチガチに守りをかためて、そのクセ城門だけ開けて、獲物が油断して入ってきたら串刺しにする気満々とか、相棒として見てられないわ。,"Tu fortifies tes défenses, mais tu laisses la porte du château ouverte dans la claire intention d'embrocher ta proie si jamais elle entre par inadvertance. En tant que partenaire, je ne peux pas rester les bras croisés en voyant cela."
8788,「……気にしないで。機会があるなら、もう一度見たいと思っただけ。,"「...... Ne t'en fais pas. Je pensais juste que si l'occasion se présentait à nouveau, je voudrais bien revoir un corps humain bouger de cette façon."
8838,“こいつは時間がかかるが、もっとも自然だ。,"“Ça prend du temps, mais c'est le plus naturel."
8876,「たぶん一日じゃ終わらないから自分で買うよ。,"「Non, je n'aurai sûrement pas fini en une journée, alors j'en achèterai un moi-même."
8891,少女に礼を言って金物店に向かう。,Il salua sa camarade et se dirigea vers le quincaillier.
8917,アルバイト、,"le travail,"
8918,仮眠、,"la sieste, "
8920,試験勉強。,les révisions pour les examens.
9321,「彼女と会えるのは食事の時だけで、食事といったらアレだろう。どうやって仲良くなれって言うんだ」,"「Le seul moment où je la vois, c'est lors des repas, et tu sais à quoi ils ressemblent. Comment veux-tu que nous sympathisions, Aozaki ?」"
9325,「……ぜんぜん分からないな。,"「...... Je ne comprends absolument pas, Aozaki."
9411,彼の数少ない相談相手（勘違い含む）である木乃美芳助はそんな助言をしてくれた。,"L'une des rares personnes à l'avoir conseillé (malentendus compris), Kinomi Hōsuke, lui avait fait cette suggestion."
9412,ちなみに木乃美の助言は対青子用のものだったが、その時の草十郎の感想は、,"Au passage, la suggestion de Kinomi était à utiliser avec Aoko, mais l'impression de Sōjūrō à ce moment-là avait été :"
9549,「……いや。蒼崎も帰ってくるだろうし、いらぬ世話かな」,"「...... Non. Aozaki devrait bientôt rentrer. Et puis, ce ne sont peut-être pas mes affaires.」"
9793,せっかく同じ場所に居るのに会話がないなんて、もったいないと思うんだ」,"Pour moi, vous gâchez de belles occasions de discuter alors que vous vivez au même endroit.」"
9832,さすがにこれ以上は延ばせない、と少年は会話を切った。,"Je ne peux vraiment pas rester plus longtemps, pensa-t-il avant de mettre un terme à la conversation."
9947,ロビーでの一件で草十郎への不信感、および関心がメーターを振り切ったのか、有珠は“明日も彼をひとりで帰して”と青子に強要した。,"Après ce qui s'était passé dans le vestibule, la défiance mêlée d'intérêt qu'Alice ressentait à l'égard de Sōjūrō avait visiblement explosé le compteur, car elle avait exigé qu'Aoko le laisse aussi rentrer seul le lendemain."
9960,「青子。貴女、隠していたわね」,"「Aoko, tu me le cachais, n'est-ce pas ?」"
9966,「なにも全て奪うとは言っていないわ。……そうね。貴女にも三割ぐらいは回すつもり」,「Je n'ai pas dit que je te prendrai tout...... Voyons. Que dis-tu de garder 30% ?」
9981,「……いいけど。あーあ、情けない。こんな事なら錬金術でもかじっておくんだった。そうすれば、こんな思いをしなくてもすんだのに」,"「...... D'accord. Mais, aaah, c'est lamentable. Si j'avais su, j'aurais appris quelques notions d'Alchimie. Comme ça, je n'aurais pas eu à ressentir ce sentiment pitoyable.」"
9982,「そうでもないわ。彼ら、バブルが弾けて大変だって話よ」,「Je n'en suis pas si sûre. Il paraît que les Alchimistes rencontrent des difficultés depuis que la bulle financière a éclaté.」
9989,「……認めてはいないけど、公園での夜、彼を結界で捕捉しなかった責任があるから。,"「...... Non, mais je suis responsable de ne pas l'avoir repéré dans la Barrière, lors de la nuit au parc."
10092,「なるほど。時間を持て余しているところも同じだね」,「Je vois. On a tous les deux du mal à trouver comment tuer le temps.」
10163,「……そんな事ぐらいで減るものか？,「...... Ça suffit pour réduire autant leur nombre ?
10408,そのあたりジブン、なんか納得いかないッス。まだうちに入ったばかりの新参ものが、なんでアリスさんの視線をひとりじめしてるっスか？　許せないスけど、その秘訣を教えてほしいっス。切実に。ジブン、本気だしたら凄いッスよ』,"J'peux pas accepter ça ! Pourquoi un nouveau venu chez nous devrait, à peine arrivé, être le seul à profiter du regard de Mam'zelle Alice ? Je peux pas laisser passer ça ! Explique-moi ce mystère ! Et ne mens pas. Quand je deviens sérieux, je suis terrible !』"
10425,そして痛い、体中の血液がくちばしからこう、右方向に流れていく感覚とかー！』,Et ça fait mal ! C'est comme si tout mon sang s'écoulait par le coin droit de mon bec !』
10490,「ひゃあ！　その物言い、槻司某―――！」,"「Hyaa ! Cette manière de parler, ne serait-ce pas un certain Tsukiji───!」"
10510,「お、なんだブレイクかよ！　話せるじゃん、殿下！」,"「Oh ! Quoi, alors c'est à propos de la pause ! Tu sais ce qu'il faut dire pour faire plaisir aux gens, Ton Altesse !」"
10582,「ホームグラウンドは国外で、先代の会長の英国びいきがたたって一時期は沈みかけてたんだが、五年くらい前かね。本拠地をこっちに移してからはご存じの通りだ。,"「Ils viennent de l'étranger. L'amour pour la Grande-Bretagne de leur précédent P.-D.G. leur a porté malheur, et à une époque, ils ont bien failli couler. Mais il y a cinq ans, il a fait déménager leur siège social pour remettre le groupe à flot."
10680,「無いよ。戻って掃除の続きをするぞ、鳶丸」,"「Mais non. Je retourne continuer le balayage, Tobimaru.」"
10744,残りの割り出しは今までより早くなる」,"Il devrait trouver bien plus rapidement la position des Pivots restants, à présent.」"
10811,支点がすべて潰されたら、いよいよ洋館での籠城になるけど……,"Si tous les Pivots sont détruits, nous serons finalement assiégées ici......"
10812,いいの、青子？」,"Ça te convient vraiment, Aoko ?」"
10901,あれから満足に寝てないだろ、ふたりとも」,"Vous n'avez pas beaucoup dormi après ça, pas vrai ?」"
11086,「よし。留め方はこれでいいのか」,"「Voilà. C'est la bonne façon de l'attacher, Aozaki ?」"
11254,草十郎は小さくおじぎをしてから箸を手にとった。,"Sōjūrō s'inclina légèrement, puis prit les baguettes à la main."
11285,たまにその手の台詞を言うけど、何か違う気がしたんだ。……だからたぶん、蒼崎はまだ人殺しというのを体験していないんじゃないかって。,"Elle dit parfois des trucs dans le genre, mais j'avais l'impression que ça sonnait faux...... Et donc, j'ai pensé qu'elle n'avait encore jamais commis de meurtre."
11298,……そうね。青子はその気になれば、迷う事なく他人の命に手をだせる。静希君ふうに言うのなら、だけど」,"...... Oui. Si l'envie lui en prend, Aoko peut porter atteinte à la vie de n'importe qui sans hésitation. Pour le dire à ta façon.」"
11411,顔の良い男は好きじゃないし。やっぱり男はシュワちゃんぐらいじゃないと」,"Et puis, je n'aime pas les hommes intelligents. Pour moi, tout homme devrait être comme Schwarzenegger.」"
11435,「別に。見たい映画がたまってるだけ。三咲じゃ上映しない映画をハシゴしたい。蒼崎は？」,「Pas vraiment. C'est juste qu'il y a de plus en plus de films que j'ai envie de voir. Et ils ne passent pas dans le coin. Et toi ?」
11449,「クマ、終わったら駅前のラーメン屋付き合ってよ。,"「Kuma, quand j'en aurai fini, viens avec moi au restaurant de ramens de devant la gare."
11485,「ごめん、木乃美のおかげで僕にも彼女ができました！　彼女の口癖は“木乃美クンよりマシよ,
11486,”です！」,
11502,「おう、入学式な！　すげー身体してる女子がいたからさあ、つい声をかけたんだよな！」,"「Ouais, la cérémonie d'entrée ! J'ai vu une fille sexy, alors j'ai levé la main par réflexe !"
11504,いや、でもまさか、手が出るとは思わなかった。,Mais je n'aurais jamais cru que ma main irait aussi loin.
11607,寝起きのアーリー、朝食のブレックファースト、午前のイレブンジズ、午後のミィディティーブレイク、午後の社交界アフタヌーン、夜会のハイティー、ディナー後のアフターディナー。,"Le Early au réveil, le Breakfast au petit déjeuner, le Elevenses le matin, le Midi Tea Break l'après-midi, l'Afternoon de l'après-midi dans la haute société, le High Tea des soirées mondaines, et l'After Tea après le dîner."
11644,「あはは。気が付いたら骨董品回りしてたものね、去年の私たち」,"「Ha ha ha. À cause de ça, l'année dernière, on a fini par faire le tour des magasins d'antiquités.」"
11743,ほら、中世の貴族はお抱えの錬金術師で、日夜金を作り出す研究をしてたっていうじゃない!?」,On dit bien que les aristos du Moyen Âge avaient des Alchimistes attitrés qui cherchaient sans relâche un moyen de fabriquer de l'or.」
11748,「……はあ。錬金術師ほどアテにならない奴はいないってワケか。今じゃプラハの錬金術師は証券魔術師、エジプトの方は兵器作ってるって話だしね……」,"「...... Aaah. En fin de compte, on ne peut pas leur faire confiance. On prétend que maintenant, les Alchimistes de Prague sont des Mages de la finance, et ceux d'Égypte utilisent de l'or pour fabriquer des armes......」"
11750,「ロンドンの名門になると、家訓と事業は別物と割り切っていて、金融専門の弟子をとっているわ。,"「Les familles huppées de Londres ne mélangent pas préceptes familiaux et affaires, elles préfèrent prendre des disciples spécialisés dans la finance."
11751,……噂だけど、ある財閥の総帥は社員全員の血を吸って、情報を共有するネットワークを作っているとか。,"...... Selon une rumeur, le dirigeant d'un certain conglomérat industriel sucerait le sang de tous ses employés, créant ainsi un réseau au partage d'informations parfait."
11816,「……こういうのを、飼い犬に手を噛まれる、というのかしら。わりと小癪な性格をしていたのね、彼」,「...... C'est comme si notre chien domestique venait de nous mordre. Il est drôlement impertinent.」
11856,『みつばちマッチはアニメっすね。,"『Et Hutchy le petit prince orphelin, c'est un anime."
11859,アシックスって、もともと三つの会社が合併して出来た会社なのよ。で、三社の社長があつまると足が六本になるじゃない？　だから足、シックス　あくまで俗説だけどね」,"À l'origine, Asics était une société née de la fusion de trois entreprises. Et si on prend les trois présidents ensemble, ça donne six jambes, pas vrai ? C'est pour ça que c'est <Ashi|jambe>, six.」"
11936,“幸せになりたければ、誰が恩を返した、誰が恩を返さないなどと考えるのはやめて、人に貢献できる喜びを大切にしよう”,"“Si nous désirons trouver le bonheur, arrêtons de nous soucier de la gratitude ou de l'ingratitude et donnons, simplement pour le plaisir de donner.”"
11943,“富める者は、その富を社会の改善のために使うべきである”,"“Les gens riches devraient utiliser leur fortune pour enrichir la société, au lieu de gaspiller leur argent.”"
12053,「―――チッ。そうか」,"「―――Tch. C'est vrai, les cigarettes sont...」"
12097,長男である一義の子という事で最低限の威厳は守られたが、立場の弱い鳶丸が親戚、兄姉たちにどんな迫害を受けたかは想像に難くない。,"Il avait pu préserver sa dignité un minimum du fait qu'il était l'enfant d'Hitoyoshi, le fils aîné de Kimekuni. Cela dit, il était aisé d'imaginer quel genre de persécutions avait subies Tobimaru dans sa position délicate, de la part de ses parents et de ses frères et sœurs."
12213,分不相応にいいアンティークを持っているから、青子と二人で少しずつとりあげているの」,"Il possède des antiquités indignes de son rang. Aoko et moi, nous nous chargeons donc de les lui subtiliser au compte-gouttes.」"
12261,「親父も舐められてるって気付けよな。親父より先に俺に色目使いやがってクソヤンキーが。,"「Il serait temps que mon père réalise qu'il se fout de lui. C'est à moi qu'il préfère faire les yeux doux, ce salaud de Yankee."
12319,「ああ、体でも売ってるとしか思えない羽振りの良さだ。一晩いくら、みたいな」,"「Oui, il roule sur l'or comme s'il vendait son corps, genre : “combien pour la nuit” ?」"
12593,生徒会書記・久万梨金鹿から被害者のリストを受け取って、すぐさま鳶丸の小型無線機に連絡をいれる。,"Kumari Kojika, secrétaire du conseil étudiant, remit la liste des victimes à Aoko qui s'empressa d'appeler le bipeur de Tobimaru."
12869,「いや、そんなもんか、実際」,"「Non, c'est vrai. C'est ça, en fait.」"
12880,「……俺も大人しく家に帰るとするか。,"「...... Eh bien, je pense que je vais sagement rentrer chez moi."
12989,いいわよ、私が出してあげる。今日は臨時収入があったから、パァーッと派手に使いましょう」,"C'est bon, c'est moi qui paierai. Aujourd'hui, j'ai eu des revenus imprévus, alors soyons fous et dépensons-les.」"
12999,「……あーあ。悪銭身に付かずって言うけど、ホントその通り。臨時収入は泡と消えた、か」,"「...... Aaah. Le proverbe dit bien “Bien mal acquis ne profite jamais”, et c'est parfaitement juste. Ma petite rémunération va partir en fumée...」"
13177,「実は今日、給料日だったんだ。,"「En fait, j'ai reçu ma paye aujourd'hui."
13269,「木乃美くんがなんて言ったか、覚えてる？」,「Sōjūrō. Tu te rappelles de ce qu'a dit Kinomi ?」
13280,えーと……そうね、喩えるなら授業のノート。,"Euh...... Voyons, pour faire un parallèle, c'est comme un cahier de cours."
13328,「来年夏にはビッグアーティストも来日予定……,「De grands artistes viendront au Japon dès l'été prochain......
13329,って、ピンクトゥルーデが入ってない！？,Pinktrude en fait partie ?!
13572,歳の頃は二十代前半だろうけれど、そう草十郎と歳が離れている気がしない。,"Elle devait être dans le début de la vingtaine, mais elle ne lui semblait pas beaucoup plus vieille que lui."
13580,とりあえず、今は留守番してますけど、実は蒼崎の友人なんです」,"Pour le moment, je garde la maison, mais en fait, je suis un ami d'Aozaki.」"
13732,「……どうもなにも。この駅で降りたのは貴女とわたしだけなの、気付いていた？」,"「...... Ce n'est rien. Aoko, avais-tu remarqué que nous étions les seules à être descendues à cette gare ?」"
13934,そもそも我欲があるかぎり、五感による情報にすら主観が入る。全てこの世は霧の中だ。もともと目に見えるだけのものは信じていない質でね」,"En premier lieu, tant que nous serons influencés par notre égoïsme, même les informations que nous recevons de nos cinq sens resteront subjectives. Le monde entier est dans le brouillard. Et puis, j'ai tendance à ne pas croire ce qui est seulement visuel.」"
14111,「―――二度は言わないわ。,「───Je ne le dirai pas deux fois.
14113,有珠の目には、潜めた、けれど激情が灯っている。,"Bien que dissimulées, d'intenses émotions brillaient dans les yeux d'Alice."
14115,「……すまない。有珠にとってここが大事な場所なのは、分かってたのに」,「...... Pardon. Je savais pourtant que cet endroit t'est cher.」
14175,あー、草十郎の分かるレベルに落としこむと……ま、太陽みたいなものと考えて。,"Aaah, en le simplifiant de manière à ce que tu puisses comprendre...... Bah, considère ça comme le soleil."
14210,だって、魔術師にとって最終目的は根源の渦への到達であって魔法じゃないし。,"Après tout, le but final des Mages, c'est d'atteindre le Tourbillon de la Source, et non pas d'obtenir la Vraie Magie."
14231,だから魔術師は血脈を重ねて、代々の魔力を次代に積み重ねていく。自分より勝れた後継者を生むために」,C'est pour ça que les lignées de Mages se marient entre elles et accumulent le prana des générations précédentes pour le transmettre à la suivante. Tout ça afin de donner naissance à des successeurs qui les surpassent.」
14348,「だから、あの人って私の持ち物を横取りしてはぶっ壊すのが趣味なのよ。苦節十四年、姉貴に目をつけられて無事だった物なんてひとつも無いもの」,"「Ben, comme je viens de le dire, elle a un sale passe-temps qui consiste à voler ce qui m'appartient et à le détruire. En quatorze ans de détermination sans faille, pas une seule chose sur laquelle elle a jeté son dévolu ne s'en est sortie indemne.」"
14412,「―――、,"「―――,"
14413,ぽこ」,ahem.」
14421,あまりにも迷いのない、鉄人の作業だった。,"C'était le travail d'un homme de fer, sans erreur ni relâche."
14578,昔っから人間の髪や目は魔術の材料になりやすいの。女の場合は殊更にね。,Il a toujours été facile de transformer les cheveux ou les yeux humains en matériau brut utile à la Magie. Et tout particulièrement dans le cas des femmes.
14635,あの橙子さんが切札になる使い魔を用意したのなら、それは」,"Alors, si la Tōko que nous connaissons a préparé un familier comme arme secrète, il doit...」"
14795,積もる話もある。君の近況にも興味がある。そもそも今回の件について、色々と説明したくてたまらない。,J'ai tout un tas de choses à te dire. J'aimerais aussi avoir de tes nouvelles. Et je meurs d'envie de t'expliquer pas mal de choses en ce qui concerne cette histoire.
14957,"『Wood and clay will wash away,』","『Wood and clay will wash away,"
15378,「仕方ないだろ。電車、終わってたんだから。タクシーを使えば良かったんだけど、あいにく持ち合わせがなくて。,"「J'y pouvais rien, non ? Il n'y avait plus de trains. J'aurais pu appeler un taxi, mais malheureusement, je n'avais pas d'argent sur moi."
15384,「使えるものがあるのにお金がないだけで使えないんだから、それって不便って言わないか？」,"「Pourquoi ? On pourrait utiliser certaines choses, mais on ne peut pas simplement parce qu'on n'a pas l'argent. Ce n'est pas terriblement frustrant, ça ?」"
15489,「教会の人になら、もう報せた。,「Je l'ai déjà fait savoir aux gens de l'église.
15508,「…………,「............
15509,出来ないなら、いいわ」,"Si tu ne peux pas, alors tant pis.」"
15647,「…………,「............
15648,本当？」,Vraiment ?」
15660,その他に説明は要りますか」,"Avez-vous besoin d'autres détails, Ritsuka ?」"
16152,喉に食い付かれる、体中好き放題噛まれまくる、あげくに右の腿なんてなくなってたそうよ。,"Il m'a mordue à la gorge, mâchée sur tout le corps, et en plus, il paraît que mon fémur droit avait disparu."
16168,……神代の神秘であるあいつには千年クラスの魔術じゃないと太刀打ちできない。かといって殴り合いでどうにかできる相手じゃないし……」,"...... On ne peut pas s'opposer à lui, un Mystère de l'Âge des Dieux, sans l'aide d'une Magie plusieurs fois millénaire. Mais dans le même temps, on n'a aucune chance de le battre à coups de poing......」"
16192,人の体を何だと思っているのかしらね、あのお子さ―――なぬ？」,"comment peut-il traiter le corps d'une femme d'une telle façon, ce gamin―――Hein ?」"
16246,「…………,「............
16247,蒼崎？」,Aozaki ?」
16326,生きてく上で一番の観客っていうのはね、他ならぬ自分自身なのよ。だから人生っていうのは油断ならないんじゃない」,"Dans la vie, ton principal spectateur, ce n'est nul autre que toi-même. Voilà pourquoi on ne peut baisser sa garde ici-bas.」"
16450,「ほら、そこです。君に勝れた部分があるとしたら、その順応性です。,"「Voilà, c'est ça. S'il y a bien une chose dans laquelle tu excelles, c'est cette adaptabilité."
16452,ようやく慣れた常識の中で、青子たちという非常識と関わっても暮らしていけた事。,"Tu t'habituais à peine à cette vie remplie de bon sens que tu t'es retrouvé impliqué avec les anomalies que sont Aoko et Alice. Et pourtant, tu as conservé ta routine."
16457,風景に溶けこむ自然さは素晴らしい人徳ですが、自我がないという事は、居場所がないという事ですから。,"Pouvoir naturellement se fondre dans le paysage ou entre les arbres est une qualité magnifique, mais ne pas avoir d'égo implique ne pas avoir d'endroit où aller."
16459,「唯架にまで見えない、というのは予想以上でしたが。,"「Cela dit, le fait que Yuika soit incapable de te voir allait au-delà de toute anticipation."
16465,そして同時に、貴方は青子に、自分ではどうしても手に入れられないものを見てしまった」,"Et par la même occasion, tu as vu en Aoko ce que tu ne pourras jamais obtenir.」"
16478,まいりましたね。こういう事は言葉を尽くすほど実感が湧かないものですが……ま、私も神父と呼ばれる身です。少し切り口を変えて代弁してみましょう。,"Me voilà gêné. Les mots ne suffisent pas à expliquer ce genre de chose...... Enfin, je ne réponds pas au titre de prêtre pour rien. Je vais me faire porte-parole et changer d'angle d'attaque."
16522,―――しかしまぁ、躊躇なくフられました。,"―――Cependant, elle a rejeté ma proposition sans hésitation."
16741,彼にとっての良し悪しの基準は、単純に「格好いい」か「格好悪い」か。,"Pour lui, la notion de bien et de mal se basait simplement sur “l'attirance” et “le dégoût”."
16965,橙子の位置からでは視界が二つに別けられ、正面の像を視認できない……！,"Là où elle se situait, son champ de vision était divisé en deux et il lui était impossible de confirmer visuellement la position de sa sœur cadette......!"
17230,対して、青子は意にも介さず、照準を合わせる為に腕をあげる事もなく、,"De son côté, Aoko ne se souciait guère des préparatifs de Tōko et ne daigna même pas lever le bras pour ajuster sa cible."
17334,けれどね、有珠。そんな物は、見つからないって思っていたんだ。,"Tu sais Alice, je croyais être incapable de trouver ce genre de chose."
17413,飛び交う電刃を、暴風の如き魔弾が叩き伏せる。,Les lames de tonnerre furent repoussées par les balles de prana à la manière d'une bourrasque de vent.
17533,「その時はその時で、今度は負債を過去に送ってやるわよ！　それなら文句ないんでしょう！？,"「Ferme-la un peu, j'y penserai le moment venu ! La prochaine fois, j'enverrai le temps emprunté dans le passé ! De cette façon, tu n'auras plus de quoi te plaindre, hein ?!"
17547,「言われなくても分かってる！,"「Tu n'as pas à me le dire, je le sais !"
17596,日本の煙草は旨すぎていけない」,La faute aux cigarettes japonaises. Elles sont trop bonnes.」
17731,皮肉げな呟きに、青子はついそんな返答をしてしまった。,Aoko répondit malgré elle au murmure sarcastique de Tōko.
17805,蒼崎が言うにはそう簡単に解呪できない呪いをかけたから、むこう十年は三咲市には入ってこれないって。,"D'après ce que j'ai entendu, Aozaki lui a lancé une malédiction qu'elle ne pourra pas dissiper facilement. Du coup, elle ne pourra plus revenir dans la ville de Misaki pendant dix ans."
17841,わりと非道な事を言って、有珠は歩きだした。,Alice prononça quelques paroles inhumaines avant de se mettre en marche sans un bruit.
17881,「そう。青子が聞いてたら大変ね」,"「Je vois. Si Aoko l'apprenait, je n'aimerais pas être à ta place.」"
17982,あんなの、ゲマトリア一節分の詠唱で同じ効果を出せるのに、あくまで呪術にこだわるから空も飛べない人形になるのよ、バカ姉貴っ！」,"On peut facilement obtenir le même résultat avec une Aria d'un verset de gematria, mais comme tu es obsédée par les incantations, tu n'as obtenu qu'un Automate qui n'est même pas capable de voler, triple idiote !」"
18055,甘く見ていたフリで、初めから、余裕なかったんだ」,"Elle faisait semblant de nous prendre à la légère, mais en réalité, elle était sérieuse depuis le début.」"
18140,呼吸が速いのも、力が入っているのも、偏に自分の責任だ。,"S'il était essoufflé et tendu, c'était de sa propre faute."
18236,「………………,「..................
18237,この、ばか」,Espèce... d'idiot.」
18542,「――――――,「――――――
18543,は？」,Hein ?」
18602,拳を振るうのなら相応の負担がある。まして相手は人狼。,Recourir au poing implique d'en payer le prix en retour. D'autant plus face à un loup-garou.
18796,――――――,――――――
18797,本当に、甘かった」,J'ai vraiment été naïve.」
18939,ゴールの見えない道は延々と続いている。,Le chemin dont on ne voyait pas la fin s'étirait indéfiniment.
18951,「言わなかった？　こんな何もない道をひとりで歩くのは時間の無駄でしょ。退屈しのぎに話し相手がほしかったの」,「Je ne te l'ai pas dit ? Je ne ferais que perdre mon temps inutilement si je marchais seule sur un chemin désert. Je voulais une personne avec qui discuter pour tuer le temps.」
19001,「根源に触れて、帰ってきた者は一人もいないの。世界規模でね。,"「Eh bien, personne n'est revenu après avoir atteint la Source. Et ce dans le monde entier."
19035,「そういえば。カエルにするって、いったい……」,"「Dis-moi, Aozaki, que voulais-tu dire quand tu parlais de la changer en grenouille...」"
19049,私がやったのは、その再編成の方みたい。,"Et apparemment, j'ai eu recours à cette méthode."
19114,でも蒼崎が消えるわけじゃないんだろう？　冬休みが終われば、また学校で会えるじゃないか」,"Mais ce n'est pas comme si tu allais disparaître, pas vrai ? Après les vacances de Noël, on se reverra à l'école.」"
19156,…………,…………
19157,そこまでは、考えていなかった」,Je n'avais pas poussé la réflexion aussi loin.」
19183,「山での暮らしは、別に、どうという事はない。,「La vie en montagne n'a rien de spécial.
19184,毎日同じ事を繰り返して、毎日同じ事を教えられた。,"Chaque jour ressemblait au précédent, et j'apprenais encore et encore les mêmes choses."
19197,見なくなってしばらくした後、崖の下で見覚えのある遺体を見付けた事もあった」,"Une fois, j'ai même découvert le corps d'une connaissance au pied d'une falaise, peu de temps après sa disparition.」"
19201,「山では、誰も他人から奪うことを考えなかった。,"「...... En y repensant, ça aussi, c'était étrange."
19202,口にできるものを探す時、気をくばる相手は犬だの熊だのだけで、人を気にする事はなかったんだよ。,"En montagne, personne ne tentait de voler qui que ce soit. Lorsque je cherchais quelque chose à me mettre sous la dent, il n'y avait que les chiens et les ours qui représentaient un danger, jamais les hommes."
19203,今は、その逆になりつつあるけど。,"Maintenant, c'est plutôt le contraire."
19293,まるで、普段から優しくないみたいじゃない」,C'est à croire que je ne suis jamais gentille.」
19524,「――――――,「――――――
19525,蒼崎」,Aozaki.」
19562,「山ではね、蒼崎。星は本当に手が届きそうなんだ。届かないのは分かっていても、望めば掴めそうなぐらい近いのに。,"「Tu vois, Aozaki, en montagne, on a vraiment l'impression de pouvoir toucher les étoiles. On sait que c'est impossible, et pourtant, elles ont l'air si proches qu'on croirait pouvoir les saisir si l'envie nous en prenait."
19570,でも、いつか比べるのは街になってしまうんだろう。自分は、こっちに下りてきてしまったんだから」,"Mais un jour, c'est probablement la montagne que je comparerai à la ville. Parce que je vis ici maintenant.」"
19746,うは、マジ使えないヤツらッスー！,"Ouaah, ils sont vraiment inutiles !"
19753,本人より“強い”使い魔を造る事は簡単よ。,c'est facile de créer un familier plus “fort” que lui.
19774,存在意義も跡形もなく壊れてしまうわ。,sa raison d'être se briserait en mille morceaux.
19784,わたしは陣営こそ強力だけど、王将自体が「歩」の^能力しかない、というイメージね。,"Quant à moi, mon camp est fort, mais le roi lui-même n'a que la capacité de “marcher”."
19789,体育の時間は校庭のはじっこで座っているだけのカ^ンタンなお仕事。,"Aux heures de sport, sa tâche est facile : rester assise à la lisière du campus."
19795,わたしだって、走るだけなら少しはこなせるわ。,"Même moi, il m'arrive parfois de courir un peu."
19800,今回はここ、アリスさんが指定した,"Cette fois aussi, on va commencer la leçon ici,"
19881,魔術協会に公開して権利と利益を得る、なんて低俗^な事はしていないから。,Je suis trop scrupuleuse pour l'exhiber devant l'Association des Mages afin d'en obtenir des privilèges et de l'argent.
19908,ぐぼぁ!?,Guah ?!
19921,貴方のような,"Par exemple,"
19922,××を罵るのに,brûler des calories toutes les cinq secondes
20045,牛は牡牛座のもじりでしょう。,alors la vache doit être une parodie du taureau.
20048,アリスさん、そのたびに作ってるッスか？,"Mam'zelle Alice, vous le fabriquez à la chaîne ?"
20076,魔女はその生で一つ、至高のプロイを遺さないとい^けない決まりがあるから。,Une règle stipule qu'une sorcière doit créer un Ploy suprême de son vivant.
20345,無敵じゃなかったッスね！　アリスさん、負け星のが多いッス、,que ça ! Vous perdez souvent !
20346,ジブンとおそろッスー！,"Comme moi, quoi !"
20395,どれが強いか、どれが好きかなんて、日によって変わるのだし。,"Et puis, leurs forces ou mes préférences changeaient quotidiennement."
20415,『これはスイーツハーツ。これはスクリプス・ハンプティ。これはディドルディドル。これはフラットスナーク。いい。これからはこの名前で統一するのよ』,『Celui-ci est Sweets Hearts. Lui Scripps Humpty. Celui-là Diddle Diddle. Et lui Flat Snark. Compris ? Appelle-les comme ça dorénavant.』
20419,『それに近い将来、こういう名前がトレンドになる時代がくるから。絶対。すぐに飽きられるだろうけど』,"『Et puis, ce genre de noms sera bientôt à la mode. C'est certain. Même si on en aura sûrement rapidement assez.』"
20420,『なんで、どうせつけるならイカした方がグッドでバッド。せっかくアタシたちだけのオリジナリティなのよ、ポップに流行らせなくちゃ大損だわ！』,"『Il faut leur donner un nom de toute façon, alors autant en profiter. C'est notre originalité à nous. Il faut être à la mode populaire, ce serait du gâchis sinon !』"
20421,それ以来、わたしはプロイを名前で呼ぶようになった。いちいち名前を覚える手間はあったけれど、プロイを間違えるコトはなくなったわ。,"Depuis, j'appelle les Ploy par des noms. Ça a été dur de tous les retenir, mais je ne me suis plus jamais trompée après ça."
20444,それじゃあ、わたしはフライドチキンにしてもらお^うかしら。,Je vais peut-être commander un poulet rôti.
20446,外のメニュー、ホットドッグとポップコーンとポテ^トしかなかったッスよ。,"Le menu ne comporte qu'des hot-dogs, du pop-corn et des frites."
20451,ハハハ。食事として、頼むワケでは、ないと。,Ha ha ha. Vous ne l'commandez donc pas pour le manger.
20910,橙子より二歳ほど年上の周瀬律架は、十年前から橙子の祖^父―――五番目の魔法の路を発掘した魔術師―――の監視^役として派遣された魔術師だ。,"Suse Ritsuka, à peu près deux ans plus vieille que Tōko, était une Mage dépêchée il y a dix ans en tant qu'observatrice du grand-père de cette dernière―――le Mage ayant découvert la voie vers la Cinquième Vraie Magie."
21076,律架もサボタージュ、奉仕の生徒さんたちも日に日に減っていく一方……結局、労働力は私ひとりだけなのですね」,"Ritsuka fait du boycott et les élèves font de moins en moins de bénévolat...... Au bout du compte, je suis la seule à travailler.」"
21214,"……自分の体に合っているからその食材を好む、ではないんだよ。ヒトは ""楽しい"" か ""楽しくない"" かで食事をとる。好きなものが甘く見えるのはその為だ」",...... Ils n'aiment pas un ingrédient juste parce qu'il sera bon pour le corps. Les hommes mangent en suivant le concept du plaisir. Voilà pourquoi ce qu'on aime évoque la douceur.」
21345,芳助と、,"Hōsuke, et également,"
21494,爆発もとは見あたらないけど……ユリヒコ、爆弾で遊ぶ性癖があったとか？　まあ、芸術家らしいけど」,"Je ne vois pas la source de la détonation, mais...... Yurihiko avait-il l'habitude de manipuler des bombes ? Ça m'étonnerait pas d'un artiste. C'est ce que disait Taro Okamoto, non ?」"
